Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,desc_low,category,margin,profit
489434,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,2009-12-01T07:45:00Z,6.95,13085,United Kingdom,15cm christmas glass ball 20 lights,christmas,0.26,1.43
489434,79323P,PINK CHERRY LIGHTS,12,2009-12-01T07:45:00Z,6.75,13085,United Kingdom,pink cherry lights,light,0.26,1.39
489434,79323W,WHITE CHERRY LIGHTS,12,2009-12-01T07:45:00Z,6.75,13085,United Kingdom,white cherry lights,light,0.26,1.39
489434,22041,"RECORD FRAME 7"" SINGLE SIZE",48,2009-12-01T07:45:00Z,2.1,13085,United Kingdom,"record frame 7"" single size",frame,0.28,0.46
489434,21232,STRAWBERRY CERAMIC TRINKET BOX,24,2009-12-01T07:45:00Z,1.25,13085,United Kingdom,strawberry ceramic trinket box,ceramic,0.16,0.17
489434,22064,PINK DOUGHNUT TRINKET POT,24,2009-12-01T07:45:00Z,1.65,13085,United Kingdom,pink doughnut trinket pot,trinket,0.13,0.19
489434,21871,SAVE THE PLANET MUG,24,2009-12-01T07:45:00Z,1.25,13085,United Kingdom,save the planet mug,mug,0.28,0.27
489434,21523,FANCY FONT HOME SWEET HOME DOORMAT,10,2009-12-01T07:45:00Z,5.95,13085,United Kingdom,fancy font home sweet home doormat,door,0.24,1.15
489435,22350,CAT BOWL,12,2009-12-01T07:46:00Z,2.55,13085,United Kingdom,cat bowl,bowl,0.31,0.6
489435,22349,"DOG BOWL , CHASING BALL DESIGN",12,2009-12-01T07:46:00Z,3.75,13085,United Kingdom,"dog bowl , chasing ball design",design,0.28,0.82
489435,22195,HEART MEASURING SPOONS LARGE,24,2009-12-01T07:46:00Z,1.65,13085,United Kingdom,heart measuring spoons large,ring,0.28,0.36
489435,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES,12,2009-12-01T07:46:00Z,2.55,13085,United Kingdom,lunchbox with cutlery fairy cakes,cake,0.22,0.46
489436,48173C,DOOR MAT BLACK FLOCK,10,2009-12-01T09:06:00Z,5.95,13078,United Kingdom,door mat black flock,door,0.24,1.15
489436,21755,LOVE BUILDING BLOCK WORD,18,2009-12-01T09:06:00Z,5.45,13078,United Kingdom,love building block word,block,0.19,0.87
489436,21754,HOME BUILDING BLOCK WORD,3,2009-12-01T09:06:00Z,5.95,13078,United Kingdom,home building block word,home,0.22,1.07
